id,saker_id,emne_id
87409,14436,189
87490,14438,4
87491,14438,75
87492,14438,190
87401,14441,143
86963,14445,11
86964,14445,13
86965,14445,38
86966,14445,184
87253,14447,11
87254,14447,181
87438,14450,8
87439,14450,92
87707,14454,4
87708,14454,21
87709,14454,71
87710,14454,75
87711,14454,139
87402,14472,5
87403,14472,7
87404,14472,143
87405,14472,145
87560,14477,32
87690,14500,32
87691,14500,114
87692,14500,159
87693,14500,184
87694,14500,220
87779,14520,11
87780,14520,141
87781,14521,11
87782,14521,141
87783,14522,11
87784,14522,141
87785,14523,11
87786,14523,59
87787,14523,60
87788,14523,141
87645,14549,163
87646,14549,167
87647,14549,174
87702,14558,2
87703,14558,4
87704,14558,73
87705,14558,107
87440,14560,8
87441,14560,163
87442,14560,168
87443,14561,8
87444,14561,91
87220,14562,8
87221,14562,91
87222,14562,99
87223,14562,113
87759,14589,52
87760,14589,113
87761,14589,184
87762,14589,195
87674,14646,10
87675,14646,40
87676,14646,186
87373,14669,6
87374,14669,11
87375,14669,14
87376,14669,127
87686,14673,32
87687,14673,51
87688,14673,155
87689,14673,183
87445,14692,29
87446,14692,151
87501,14693,22
87502,14693,163
87503,14693,171
87369,14706,5
87370,14706,50
87371,14706,187
87372,14706,205
87504,14756,31
87505,14756,32
87506,14771,52
87507,14771,136
87508,14771,184
87636,14782,46
87637,14782,52
87638,14782,133
87639,14782,184
87640,14783,52
87641,14783,58
87642,14783,80
87643,14783,184
87644,14783,187
87603,14812,97
87604,14812,98
87605,14812,113
87606,14814,97
87607,14814,98
87608,14814,113
87609,14815,97
87610,14815,98
87611,14815,113
87612,14816,83
87613,14816,187
87255,14822,86
87256,14822,184
87257,14822,187
87258,14822,220
87273,14823,61
87274,14823,63
87499,14830,4
87500,14830,75
87536,14834,11
87537,14834,12
87538,14834,14
87539,14834,40
87540,14834,43
87541,14847,151
87542,14847,203
87543,14869,45
87544,14870,138
87545,14870,184
87546,14871,10
87547,14871,211
87548,14872,29
87549,14872,151
87320,14885,58
87321,14885,187
87436,14902,26
87437,14902,151
87275,14955,4
87276,14955,71
87318,14956,10
87319,14956,186
87509,14977,32
87510,14977,183
87277,14993,8
87278,14993,92
87406,14999,5
87407,14999,95
87366,15003,2
87367,15003,47
87368,15003,107
87416,15020,5
87417,15020,95
87208,15029,20
87209,15029,113
87324,15030,32
87325,15030,183
87271,15031,61
87272,15031,63
87334,15032,32
87335,15032,183
87336,15033,32
87337,15033,183
87338,15034,31
87339,15034,32
87340,15034,158
87341,15034,183
87342,15035,31
