id,saker_id,"personer_id"
15501,3594,"REK"
15482,3595,"ODH"
15518,3596,"PAN"
15450,3597,"TKV"
15455,3598,"BHG"
15476,3599,"RB"
15468,3600,"RHR"
15500,3601,"MHG"
15496,3602,"AG"
15447,3603,"TRJ"
15497,3604,"GRF"
16133,3605,"PT"
15464,3606,"SEB"
15495,3607,"MIB"
15511,3608,"RHR"
15524,3609,"RS"
15449,3611,"LIH"
16134,3612,"DJF"
15475,3613,"OTK"
15516,3614,"DW"
15479,3615,"MTI"
15453,3616,"DGH"
15480,3617,"RTV"
15458,3618,"MSE"
15465,3619,"OA"
15467,3620,"TN"
15493,3621,"JS"
15461,3623,"BHG"
15452,3624,"AST"
15519,3625,"KKD"
15513,3626,"REK"
15512,3627,"TN"
15483,3628,"EGR"
15470,3629,"OAS"
15457,3630,"HFJ"
15509,3631,"SB"
15499,3632,"ERF"
15451,3633,"ANH"
15484,3634,"DGH"
15489,3635,"RUI"
15494,3636,"KKF"
15514,3637,"ROG"
15488,3638,"AAS"
15474,3639,"JOF"
15472,3640,"TNY"
15473,3641,"JOF"
15471,3642,"TNY"
15486,3643,"OA"
